# Glossário dos nomes de campo do layout fiscal, usados nos três documentos.
#
# Serve de descrição PADRÃO quando o campo não tem comentário próprio no modelo.
# Um comentário no modelo sempre vence: ele é específico daquele contexto.
#
# Formato: nomeJSON <TAB> descrição
CNPJ	CNPJ, 14 dígitos. Aceita com ou sem máscara.
CPF	CPF, 11 dígitos. Aceita com ou sem máscara.
CNPJCPF	CNPJ (14 dígitos) ou CPF (11 dígitos). Aceita com ou sem máscara.
idEstrangeiro	Identificador do estrangeiro, quando não há CNPJ nem CPF.
IE	Inscrição estadual. Use ISENTO quando isento.
IEST	Inscrição estadual do substituto tributário.
IM	Inscrição municipal.
xNome	Razão social ou nome.
xFant	Nome fantasia.
email	Endereço de e-mail.
fone	Telefone, só dígitos, com DDD.
CEP	CEP, 8 dígitos, sem hífen.
UF	Sigla da unidade federativa, duas letras.
cUF	Código IBGE da unidade federativa, 2 dígitos.
cMun	Código IBGE do município, 7 dígitos.
xMun	Nome do município.
cMunEnv	Código IBGE do município de envio, 7 dígitos.
xMunEnv	Nome do município de envio.
UFEnv	Sigla da UF de envio.
cMunIni	Código IBGE do município de início da prestação.
xMunIni	Nome do município de início da prestação.
UFIni	Sigla da UF de início da prestação.
cMunFim	Código IBGE do município de fim da prestação.
xMunFim	Nome do município de fim da prestação.
UFFim	Sigla da UF de fim da prestação.
cMunCarrega	Código IBGE do município de carregamento.
xMunCarrega	Nome do município de carregamento.
cMunDescarga	Código IBGE do município de descarregamento.
xMunDescarga	Nome do município de descarregamento.
logradouro	Logradouro.
xLgr	Logradouro.
numero	Número do endereço. Use SN quando não houver.
nro	Número do endereço. Use SN quando não houver.
complemento	Complemento do endereço.
xCpl	Complemento do endereço.
bairro	Bairro.
xBairro	Bairro.
cidade	Nome do município.
cPais	Código do país conforme a tabela do BACEN. 1058 = Brasil.
xPais	Nome do país.
CFOP	Código Fiscal de Operações e Prestações, 4 dígitos.
natOp	Natureza da operação, em texto livre.
serie	Série do documento.
cDV	Dígito verificador da chave de acesso. A lib calcula se ausente.
procEmi	Identificador do processo de emissão. 0 = aplicativo do contribuinte.
verProc	Versão do aplicativo emissor.
versao	Versão do layout do documento.
Id	Identificador do grupo, montado pela lib a partir da chave.
chave	Chave de acesso do documento, 44 dígitos.
chCTe	Chave de acesso do CT-e, 44 dígitos.
chMDFe	Chave de acesso do MDF-e, 44 dígitos.
chNFe	Chave de acesso da NF-e, 44 dígitos.
chaveDFe	Chave de acesso do documento fiscal referenciado.
nProt	Número do protocolo de autorização.
protocolo	Número do protocolo devolvido pelo fisco.
nRec	Número do recibo do lote.
cStat	Código de status devolvido pelo fisco.
xMotivo	Descrição do status devolvido pelo fisco.
nSeqEvento	Número sequencial do evento para a mesma chave. Começa em 1.
tpEvento	Código do tipo de evento.
xJust	Justificativa. Mínimo de 15 caracteres.
xObs	Observação, em texto livre.
xCaracAd	Característica adicional do transporte.
xCaracSer	Característica adicional do serviço.
xEmi	Nome do emissor.
nDoc	Número do documento.
nDocFiscal	Número do documento fiscal.
nRoma	Número do romaneio.
nPed	Número do pedido.
CST	Código de Situação Tributária.
