ABase	abrasf_v2
ADPM	abrasf_v2
AEG	abrasf_v2
Abaco	abrasf_v1_v2
Actcon	abrasf_v2
Adm	abrasf_v2
Agape	abrasf_v2
Agili	proprio
Aspec	proprio
AssessorPublico	proprio
Asten	abrasf_v2
BHISS	abrasf_v1
BWSistemas	abrasf_v2
Bauhaus	proprio
Betha	abrasf_v1_v2
CIGA	abrasf_v1
CTA	proprio
CTAConsult	proprio
Centi	abrasf_v2
Citta	abrasf_v2
Conam	proprio
Contass	abrasf_v1
Coplan	abrasf_v2
DBSeller	abrasf_v1_v2
DSF	abrasf_v1_v2
DataSmart	abrasf_v2
DeISS	abrasf_v2
Desenvolve	abrasf_v2
Digifred	abrasf_v2
EL	proprio_abrasf
Elmar	abrasf_v2
EloTech	abrasf_v2
Equiplano	proprio
Etherium	abrasf_v2
FGMaiss	proprio
FISSLex	abrasf_v1
Facundo	proprio
Fiorilli	proprio_abrasf
Fisco	abrasf_v2
Futurize	abrasf_v2
GeisWeb	proprio
GestaoISS	abrasf_v2
Giap	proprio_abrasf
Ginfes	abrasf_v1
Giss	abrasf_v2
GovBr	abrasf_v1
GovDigital	abrasf_v2
Governa	proprio
HM2	abrasf_v2
Horus	abrasf_v1
IPM	proprio_abrasf
ISSBarueri	proprio
ISSCamacari	abrasf_v2
ISSCambe	proprio
ISSCampinas	proprio_abrasf
ISSCuritiba	abrasf_v1
ISSDSF	proprio_abrasf
ISSDigital	abrasf_v2
ISSFortaleza	abrasf_v1
ISSGoiania	abrasf_v2
ISSIntel	abrasf_v1
ISSJoinville	abrasf_v2
ISSLegal	abrasf_v2
ISSLencois	proprio
ISSMap	proprio
ISSNatal	abrasf_v1
ISSNet	abrasf_v1_v2
ISSPortoVelho	abrasf_v2
ISSRecife	abrasf_v1
ISSRio	abrasf_v1
ISSSJP	abrasf_v1
ISSSalvador	abrasf_v1
ISSSaoPaulo	proprio
ISSVitoria	abrasf_v2
ISSe	abrasf_v2
Infisc	proprio_abrasf
Intertec	proprio
Isaneto	abrasf_v2
Kalana	abrasf_v1
Lexsom	abrasf_v1
Libre	abrasf_v2
Link3	abrasf_v2
MegaSoft	abrasf_v2
MetropolisWeb	abrasf_v1
Mitra	abrasf_v2
ModernizacaoPublica	abrasf_v2
NEAInformatica	abrasf_v2
NFEletronica	abrasf_v1
NFSeBrasil	abrasf_v1
NotaInteligente	abrasf_v2
PRODAUB	abrasf_v2
PadraoNacional	padrao_nacional
Prescon	proprio
PriMax	proprio
Prodata	abrasf_v2
Pronim	abrasf_v1_v2
PublicSoft	abrasf_v2
Publica	abrasf_v1
RLZ	proprio_abrasf
SH3	abrasf_v2
SSInformatica	abrasf_v2
Saatri	abrasf_v2
SafeWeb	abrasf_v2
Sam	proprio
Siam	abrasf_v2
SiapNet	abrasf_v2
SiapSistemas	abrasf_v2
Siappa	proprio
Siat	proprio
SigCorp	abrasf_v2
SigISS	proprio
SigISSWeb	proprio
Sigep	abrasf_v2
SilTecnologia	abrasf_v1_v2
SimplISS	abrasf_v1_v2
Simple	proprio
Sintese	abrasf_v2
SisPMJP	abrasf_v2
Sistemas4R	abrasf_v2
SmarAPD	proprio_abrasf
Smart4	proprio
SoftPlan	proprio
SpeedGov	abrasf_v1
Sudoeste	abrasf_v2
SysISS	abrasf_v2
SystemPro	abrasf_v2
TaxTecnologia	abrasf_v2
TcheInfo	abrasf_v2
Tecnos	abrasf_v2
Thema	abrasf_v1
Tinus	abrasf_v1_v2
Tiplan	abrasf_v1_v2
Tributus	abrasf_v2
VersaTecnologia	abrasf_v2
Virtual	abrasf_v2
WebFisco	proprio
WebISS	abrasf_v1_v2
XTRTecnologia	proprio
eGoverneISS	proprio
eISS	proprio
eReceita	abrasf_v2
fintelISS	abrasf_v2
geNFe	abrasf_v1
iiBrasil	abrasf_v2
